stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1001,TS-01,浅草,,35.71192,139.79835,1001,,0,,,
1002,TS-02,とうきょうスカイツリー,,35.71047,139.80939,1002,,0,,,
1003,TS-03,押上(スカイツリー前),,35.71022,139.81241,1003,,0,,,
1004,TS-04,曳舟,,35.71851,139.81667,1004,,0,,,
1005,TS-05,東向島,,35.72436,139.81933,1005,,0,,,
1006,TS-06,鐘ヶ淵,,35.73376,139.82037,1006,,0,,,
1007,TS-07,堀切,,35.74334,139.81738,1007,,0,,,
1008,TS-08,牛田,,35.74454,139.81177,1008,,0,,,
1009,TS-09,北千住,,35.74981,139.80556,1009,,0,,,
1010,TS-10,小菅,,35.75869,139.81265,1010,,0,,,
1011,TS-11,五反野,,35.76590,139.80963,1011,,0,,,
1012,TS-12,梅島,,35.77235,139.79807,1012,,0,,,
1013,TS-13,西新井,,35.77728,139.79037,1013,,0,,,
1014,TS-14,竹ノ塚,,35.79437,139.79072,1014,,0,,,
1015,TS-15,谷塚,,35.81486,139.80146,1015,,0,,,
1016,TS-16,草加,,35.82838,139.80346,1016,,0,,,
1017,TS-17,獨協大学前<草加松原>,,35.84330,139.80067,1017,,0,,,
1018,TS-18,新田,,35.85411,139.79542,1018,,0,,,
1019,TS-19,蒲生,,35.86689,139.79176,1019,,0,,,
1020,TS-20,新越谷,,35.87556,139.78981,1020,,0,,,
1021,TS-21,越谷,,35.88753,139.78624,1021,,0,,,
1022,TS-22,北越谷,,35.90172,139.77987,1022,,0,,,
1023,TS-23,大袋,,35.92460,139.77794,1023,,0,,,
1024,TS-24,せんげん台,,35.93596,139.77459,1024,,0,,,
1025,TS-25,武里,,35.94908,139.77071,1025,,0,,,
1026,TS-26,一ノ割,,35.96487,139.76604,1026,,0,,,
1027,TS-27,春日部,,35.98007,139.75279,1027,,0,,,
1028,TS-28,北春日部,,35.98994,139.74432,1028,,0,,,
1029,TS-29,姫宮,,36.00442,139.73869,1029,,0,,,
1030,TS-30,東武動物公園,,36.02470,139.72689,1030,,0,,,
1101,TS-30,東武動物公園,,36.02470,139.72689,1101,,0,,,
1102,TI-01,和戸,,36.03964,139.70110,1102,,0,,,
1103,TI-02,久喜,,36.06555,139.67761,1103,,0,,,
1104,TI-03,鷲宮,,36.09633,139.65696,1104,,0,,,
1105,TI-04,花崎,,36.10994,139.63359,1105,,0,,,
1106,TI-05,加須,,36.12295,139.59556,1106,,0,,,
1107,TI-06,南羽生,,36.14962,139.55696,1107,,0,,,
