table_name,field_name,field_value,language,translation
agency,agency_name,東武鉄道,ja,東武鉄道
agency,agency_name,東武鉄道,en,Tobu Railway
routes,route_long_name,大師線,ja,大師線
routes,route_long_name,大師線,en,Daishi Line
routes,route_long_name,伊勢崎線,ja,伊勢崎線
routes,route_long_name,伊勢崎線,en,Isesaki Line
routes,route_long_name,亀戸線,ja,亀戸線
routes,route_long_name,亀戸線,en,Kameido Line
routes,route_long_name,鬼怒川線,ja,鬼怒川線
routes,route_long_name,鬼怒川線,en,Kinugawa Line
routes,route_long_name,桐生線,ja,桐生線
routes,route_long_name,桐生線,en,Kiryu Line
routes,route_long_name,小泉線,ja,小泉線
routes,route_long_name,小泉線,en,Koizumi Line
routes,route_long_name,日光線,ja,日光線
routes,route_long_name,日光線,en,Nikko Line
routes,route_long_name,越生線,ja,越生線
routes,route_long_name,越生線,en,Ogose Line
routes,route_long_name,佐野線,ja,佐野線
routes,route_long_name,佐野線,en,Sano Line
routes,route_long_name,東武スカイツリーライン,ja,東武スカイツリーライン
routes,route_long_name,東武スカイツリーライン,en,TOBU SKYTREE Line
routes,route_long_name,東武アーバンパークライン,ja,東武アーバンパークライン
routes,route_long_name,東武アーバンパークライン,en,TOBU URBAN PARK Line
routes,route_long_name,東上線,ja,東上線
routes,route_long_name,東上線,en,Tojo Line
routes,route_long_name,宇都宮線,ja,宇都宮線
routes,route_long_name,宇都宮線,en,Utsunomiya Line
stops,stop_name,西新井,ja,西新井
stops,stop_name,西新井,en,Nishiarai
stops,stop_name,大師前,ja,大師前
stops,stop_name,大師前,en,Daishimae
stops,stop_name,東武動物公園,ja,東武動物公園
stops,stop_name,東武動物公園,en,Tobu-dobutsu-koen
stops,stop_name,和戸,ja,和戸
stops,stop_name,和戸,en,Wado
stops,stop_name,久喜,ja,久喜
stops,stop_name,久喜,en,Kuki
stops,stop_name,鷲宮,ja,鷲宮
stops,stop_name,鷲宮,en,Washinomiya
stops,stop_name,花崎,ja,花崎
stops,stop_name,花崎,en,Hanasaki
stops,stop_name,加須,ja,加須
stops,stop_name,加須,en,Kazo
stops,stop_name,南羽生,ja,南羽生
stops,stop_name,南羽生,en,Minami-hanyu
stops,stop_name,羽生,ja,羽生
stops,stop_name,羽生,en,Hanyu
stops,stop_name,川俣,ja,川俣
stops,stop_name,川俣,en,Kawamata
stops,stop_name,茂林寺前,ja,茂林寺前
stops,stop_name,茂林寺前,en,Morinjimae
stops,stop_name,館林,ja,館林
stops,stop_name,館林,en,Tatebayashi
stops,stop_name,多々良,ja,多々良
stops,stop_name,多々良,en,Tatara
stops,stop_name,県,ja,県
stops,stop_name,県,en,Agata
stops,stop_name,福居,ja,福居
stops,stop_name,福居,en,Fukui
stops,stop_name,東武和泉,ja,東武和泉
stops,stop_name,東武和泉,en,Tobu-izumi
stops,stop_name,足利市,ja,足利市
stops,stop_name,足利市,en,Ashikagashi
stops,stop_name,野州山辺,ja,野州山辺
stops,stop_name,野州山辺,en,Yashu-yamabe
stops,stop_name,韮川,ja,韮川
stops,stop_name,韮川,en,Niragawa
stops,stop_name,太田,ja,太田
stops,stop_name,太田,en,Ota
stops,stop_name,細谷,ja,細谷
stops,stop_name,細谷,en,Hosoya
stops,stop_name,木崎,ja,木崎
stops,stop_name,木崎,en,Kizaki
stops,stop_name,世良田,ja,世良田
stops,stop_name,世良田,en,Serada
stops,stop_name,境町,ja,境町
stops,stop_name,境町,en,Sakaimachi
stops,stop_name,剛志,ja,剛志
stops,stop_name,剛志,en,Goshi
stops,stop_name,新伊勢崎,ja,新伊勢崎
stops,stop_name,新伊勢崎,en,Shin-isesaki
stops,stop_name,伊勢崎,ja,伊勢崎
stops,stop_name,伊勢崎,en,Isesaki
stops,stop_name,曳舟,ja,曳舟
stops,stop_name,曳舟,en,Hikifune
stops,stop_name,小村井,ja,小村井
stops,stop_name,小村井,en,Omurai
stops,stop_name,東あずま,ja,東あずま
stops,stop_name,東あずま,en,Higashi-azuma
stops,stop_name,亀戸水神,ja,亀戸水神
stops,stop_name,亀戸水神,en,Kameidosuijin
stops,stop_name,亀戸,ja,亀戸
stops,stop_name,亀戸,en,Kameido
stops,stop_name,下今市,ja,下今市
stops,stop_name,下今市,en,Shimo-imaichi
stops,stop_name,大谷向,ja,大谷向
stops,stop_name,大谷向,en,Daiyamuko
stops,stop_name,大桑,ja,大桑
stops,stop_name,大桑,en,Okuwa
stops,stop_name,新高徳,ja,新高徳
stops,stop_name,新高徳,en,Shin-takatoku
stops,stop_name,小佐越,ja,小佐越
stops,stop_name,小佐越,en,Kosagoe
stops,stop_name,東武ワールドスクウェア,ja,東武ワールドスクウェア
stops,stop_name,東武ワールドスクウェア,en,TOBU WORLD SQUARE
stops,stop_name,鬼怒川温泉,ja,鬼怒川温泉
stops,stop_name,鬼怒川温泉,en,Kinugawa-onsen
stops,stop_name,鬼怒川公園,ja,鬼怒川公園
stops,stop_name,鬼怒川公園,en,Kinugawa-koen
stops,stop_name,新藤原,ja,新藤原
stops,stop_name,新藤原,en,Shin-fujiwara
stops,stop_name,三枚橋,ja,三枚橋
stops,stop_name,三枚橋,en,Sammaibashi
stops,stop_name,治良門橋,ja,治良門橋
stops,stop_name,治良門橋,en,Jiroembashi
stops,stop_name,藪塚,ja,藪塚
stops,stop_name,藪塚,en,Yabuzuka
stops,stop_name,阿左美,ja,阿左美
stops,stop_name,阿左美,en,Azami
stops,stop_name,新桐生,ja,新桐生
stops,stop_name,新桐生,en,Shin-kiryu
stops,stop_name,相老,ja,相老
stops,stop_name,相老,en,Aioi
stops,stop_name,赤城,ja,赤城
stops,stop_name,赤城,en,Akagi
stops,stop_name,成島,ja,成島
stops,stop_name,成島,en,Narushima
stops,stop_name,本中野,ja,本中野
stops,stop_name,本中野,en,Hon-nakano
stops,stop_name,篠塚,ja,篠塚
stops,stop_name,篠塚,en,Shinozuka
stops,stop_name,東小泉,ja,東小泉
stops,stop_name,東小泉,en,Higashi-koizumi
stops,stop_name,小泉町,ja,小泉町
stops,stop_name,小泉町,en,Koizumimachi
stops,stop_name,西小泉,ja,西小泉
stops,stop_name,西小泉,en,Nishi-koizumi
stops,stop_name,竜舞,ja,竜舞
stops,stop_name,竜舞,en,Ryumai
stops,stop_name,杉戸高野台,ja,杉戸高野台
stops,stop_name,杉戸高野台,en,Sugito-takanodai
stops,stop_name,幸手,ja,幸手
stops,stop_name,幸手,en,Satte
stops,stop_name,南栗橋,ja,南栗橋
stops,stop_name,南栗橋,en,Minami-kurihashi
stops,stop_name,栗橋,ja,栗橋
stops,stop_name,栗橋,en,Kurihashi
stops,stop_name,新古河,ja,新古河
stops,stop_name,新古河,en,Shin-koga
stops,stop_name,柳生,ja,柳生
stops,stop_name,柳生,en,Yagyu
stops,stop_name,板倉東洋大前,ja,板倉東洋大前
stops,stop_name,板倉東洋大前,en,Itakura-toyodaimae
stops,stop_name,藤岡,ja,藤岡
stops,stop_name,藤岡,en,Fujioka
stops,stop_name,静和,ja,静和
stops,stop_name,静和,en,Shizuwa
stops,stop_name,新大平下,ja,新大平下
stops,stop_name,新大平下,en,Shin-ohirashita
stops,stop_name,栃木,ja,栃木
stops,stop_name,栃木,en,Tochigi
stops,stop_name,新栃木,ja,新栃木
stops,stop_name,新栃木,en,Shin-tochigi
stops,stop_name,合戦場,ja,合戦場
stops,stop_name,合戦場,en,Kassemba
stops,stop_name,家中,ja,家中
stops,stop_name,家中,en,Ienaka
stops,stop_name,東武金崎,ja,東武金崎
stops,stop_name,東武金崎,en,Tobu-kanasaki
stops,stop_name,楡木,ja,楡木
stops,stop_name,楡木,en,Niregi
stops,stop_name,樅山,ja,樅山
stops,stop_name,樅山,en,Momiyama
stops,stop_name,新鹿沼,ja,新鹿沼
stops,stop_name,新鹿沼,en,Shin-kanuma
stops,stop_name,北鹿沼,ja,北鹿沼
stops,stop_name,北鹿沼,en,Kita-kanuma
stops,stop_name,板荷,ja,板荷
stops,stop_name,板荷,en,Itaga
stops,stop_name,下小代,ja,下小代
stops,stop_name,下小代,en,Shimo-goshiro
stops,stop_name,明神,ja,明神
stops,stop_name,明神,en,Myojin
stops,stop_name,上今市,ja,上今市
stops,stop_name,上今市,en,Kami-imaichi
stops,stop_name,東武日光,ja,東武日光
stops,stop_name,東武日光,en,Tobu-nikko
stops,stop_name,坂戸,ja,坂戸
stops,stop_name,坂戸,en,Sakado
stops,stop_name,一本松,ja,一本松
stops,stop_name,一本松,en,Ippommatsu
stops,stop_name,西大家,ja,西大家
stops,stop_name,西大家,en,Nishi-oya
stops,stop_name,川角,ja,川角
stops,stop_name,川角,en,Kawakado
stops,stop_name,武州長瀬,ja,武州長瀬
stops,stop_name,武州長瀬,en,Bushu-nagase
stops,stop_name,東毛呂,ja,東毛呂
stops,stop_name,東毛呂,en,Higashi-moro
stops,stop_name,武州唐沢,ja,武州唐沢
stops,stop_name,武州唐沢,en,Bushu-karasawa
stops,stop_name,越生,ja,越生
stops,stop_name,越生,en,Ogose
stops,stop_name,渡瀬,ja,渡瀬
stops,stop_name,渡瀬,en,Watarase
stops,stop_name,田島,ja,田島
stops,stop_name,田島,en,Tajima
stops,stop_name,佐野市,ja,佐野市
