service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20251029,20281028
01-160,0,0,0,0,0,1,0,20251029,20281028
01-170,1,1,1,1,1,0,0,20251029,20281028
06-100,0,0,0,0,0,0,1,20251029,20281028
06-160,0,0,0,0,0,1,0,20251029,20281028
06-170,1,1,1,1,1,0,0,20251029,20281028
09-100,0,0,0,0,0,0,1,20251029,20281028
09-160,0,0,0,0,0,1,0,20251029,20281028
09-170,1,1,1,1,1,0,0,20251029,20281028
13-100,0,0,0,0,0,0,1,20251029,20281028
13-160,0,0,0,0,0,1,0,20251029,20281028
13-170,1,1,1,1,1,0,0,20251029,20281028
21-100,0,0,0,0,0,0,1,20251029,20281028
21-160,0,0,0,0,0,1,0,20251029,20281028
21-170,1,1,1,1,1,0,0,20251029,20281028
25-100,0,0,0,0,0,0,1,20251029,20281028
25-160,0,0,0,0,0,1,0,20251029,20281028
25-170,1,1,1,1,1,0,0,20251029,20281028
29-100,0,0,0,0,0,0,1,20251029,20281028
29-160,0,0,0,0,0,1,0,20251029,20281028
29-170,1,1,1,1,1,0,0,20251029,20281028
33-100,0,0,0,0,0,0,1,20251029,20281028
33-160,0,0,0,0,0,1,0,20251029,20281028
33-170,1,1,1,1,1,0,0,20251029,20281028
37-100,0,0,0,0,0,0,1,20251029,20281028
37-160,0,0,0,0,0,1,0,20251029,20281028
37-170,1,1,1,1,1,0,0,20251029,20281028
41-100,0,0,0,0,0,0,1,20251029,20281028
41-160,0,0,0,0,0,1,0,20251029,20281028
41-170,1,1,1,1,1,0,0,20251029,20281028
45-100,0,0,0,0,0,0,1,20251029,20281028
45-160,0,0,0,0,0,1,0,20251029,20281028
45-170,1,1,1,1,1,0,0,20251029,20281028
49-100,0,0,0,0,0,0,1,20251029,20281028
49-160,0,0,0,0,0,1,0,20251029,20281028
49-170,1,1,1,1,1,0,0,20251029,20281028
53-100,0,0,0,0,0,0,1,20251029,20281028
53-160,0,0,0,0,0,1,0,20251029,20281028
53-170,1,1,1,1,1,0,0,20251029,20281028
57-100,0,0,0,0,0,0,1,20251029,20281028
57-160,0,0,0,0,0,1,0,20251029,20281028
57-170,1,1,1,1,1,0,0,20251029,20281028
61-100,0,0,0,0,0,0,1,20251029,20281028
61-160,0,0,0,0,0,1,0,20251029,20281028
61-170,1,1,1,1,1,0,0,20251029,20281028
65-100,0,0,0,0,0,0,1,20251029,20281028
65-160,0,0,0,0,0,1,0,20251029,20281028
65-170,1,1,1,1,1,0,0,20251029,20281028
69-100,0,0,0,0,0,0,1,20251029,20281028
69-160,0,0,0,0,0,1,0,20251029,20281028
69-170,1,1,1,1,1,0,0,20251029,20281028
77-100,0,0,0,0,0,0,1,20251029,20281028
77-160,0,0,0,0,0,1,0,20251029,20281028
77-170,1,1,1,1,1,0,0,20251029,20281028
81-100,0,0,0,0,0,0,1,20251029,20281028
81-160,0,0,0,0,0,1,0,20251029,20281028
81-170,1,1,1,1,1,0,0,20251029,20281028
85-100,0,0,0,0,0,0,1,20251029,20281028
85-160,0,0,0,0,0,1,0,20251029,20281028
85-170,1,1,1,1,1,0,0,20251029,20281028
